benchmark_name,number_of_resources,number_of_supported_resources,number_of_ignored_resources,number_of_unsupported_resources,number_of_lambdas,number_of_ec2,average_graph_degree,number_of_constraints,number_of_basic_constraints,number_of_incoming_constraints,number_of_intrinsic_constraints,number_of_outgoing_constraints
461927272.yaml,4,2,2,0,1,0,1.0,5,5,0,0,0
462089421.yaml,55,6,18,31,4,0,0.3333333333333333,10,10,0,0,0
462674514.yaml,11,1,7,3,1,0,0.0,1,1,0,0,0
462729373.yaml,18,1,14,3,0,0,0.0,2,2,0,0,0
462826008.yaml,33,26,5,2,0,0,1.8461538461538463,150,109,17,8,16
462847964.yaml,17,2,9,6,0,0,0.0,4,4,0,0,0
463417489.yaml,10,4,5,1,1,0,1.0,7,5,2,0,0
463460853.yaml,5,0,2,3,0,0,0,0,0,0,0,0
463489198.yaml,1,0,1,0,0,0,0,0,0,0,0,0
463899600.yaml,41,2,5,34,1,0,0.0,3,3,0,0,0
463924306.yaml,17,2,9,6,0,0,0.0,4,4,0,0,0
464070494.yaml,12,0,1,11,0,0,0,0,0,0,0,0
464163479.yaml,26,0,4,22,0,0,0,0,0,0,0,0
464170971.yaml,16,5,9,2,1,0,1.2,17,13,2,1,1
464533643.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
464599786.yaml,18,0,4,14,0,1,0,0,0,0,0,0
465231165.yaml,4,0,3,1,0,0,0,0,0,0,0,0
465892922.yaml,4,1,3,0,1,0,0.0,1,1,0,0,0
465982998.yaml,39,14,23,2,5,0,1.0,47,34,5,3,5
465990447.yaml,21,1,6,14,1,1,0.0,1,1,0,0,0
466056205.yaml,35,11,19,5,4,0,0.9090909090909091,33,23,4,2,4
466071457.yaml,39,14,23,2,5,0,1.0,47,34,5,3,5
466371191.yaml,1,0,1,0,0,0,0,0,0,0,0,0
466832249.yaml,1,0,1,0,0,0,0,0,0,0,0,0
466855293.yaml,18,1,14,3,0,0,0.0,2,2,0,0,0
467303097.yaml,17,6,6,5,2,0,1.0,12,8,3,0,1
467692987.yaml,18,1,14,3,0,0,0.0,2,2,0,0,0
467712393.yaml,52,2,9,41,1,0,0.0,3,3,0,0,0
468152365.yaml,1,0,1,0,0,0,0,0,0,0,0,0
468169810.yaml,44,1,5,38,1,0,0.0,1,1,0,0,0
468426790.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
468860581.yaml,11,3,4,4,0,0,0.6666666666666666,4,3,1,0,0
468892669.yaml,9,2,4,3,1,0,0.0,3,3,0,0,0
469391798.yaml,1,0,1,0,0,0,0,0,0,0,0,0
469739537.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
469904133.yaml,12,1,3,8,0,0,0.0,4,3,0,1,0
470340735.yaml,24,6,12,6,3,0,0.0,9,9,0,0,0
470340774.yaml,40,12,18,10,4,0,1.0,36,25,5,2,4
470467983.yaml,26,9,15,2,3,0,1.5555555555555556,39,29,5,2,3
470730308.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
470778214.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
470924871.yaml,20,4,14,2,4,0,0.0,4,4,0,0,0
470956201.yaml,28,1,1,26,0,0,0.0,2,2,0,0,0
471103768.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
471171258.yaml,38,0,4,34,0,0,0,0,0,0,0,0
471418642.yaml,49,0,9,40,0,0,0,0,0,0,0,0
471421762.yaml,27,1,20,6,0,0,0.0,2,2,0,0,0
471435007.yaml,29,11,16,2,4,0,0.9090909090909091,38,29,3,3,3
471534086.yaml,18,4,7,7,0,0,1.0,17,13,1,2,1
472088274.yaml,25,0,1,24,0,0,0,0,0,0,0,0
472257539.yaml,19,6,9,4,2,0,0.6666666666666666,19,15,1,2,1
472972340.yaml,16,3,8,5,3,0,0.6666666666666666,5,4,1,0,0
473114992.yaml,33,9,10,14,3,0,0.8888888888888888,25,19,3,1,2
473263835.yaml,23,1,18,4,0,0,0.0,2,2,0,0,0
473441796.yaml,11,0,1,10,0,0,0,0,0,0,0,0
473515367.yaml,17,4,6,7,1,0,1.0,14,11,1,1,1
473984874.yaml,20,8,9,3,1,0,1.25,54,47,2,3,2
474026903.yaml,38,0,4,34,0,0,0,0,0,0,0,0
474185187.yaml,2,0,1,1,0,0,0,0,0,0,0,0
474378856.yaml,1,0,1,0,0,0,0,0,0,0,0,0
474481547.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
474861046.yaml,2,1,1,0,0,0,0.0,4,3,0,1,0
475044383.yaml,20,2,7,11,2,1,0.0,2,2,0,0,0
475300175.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
475398526.yaml,56,21,24,11,5,0,1.619047619047619,95,73,9,5,8
475554281.yaml,5,1,2,2,0,0,0.0,2,2,0,0,0
476191342.yaml,23,9,12,2,3,0,0.8888888888888888,33,26,2,3,2
476446721.yaml,38,0,4,34,0,0,0,0,0,0,0,0
476868353.yaml,26,5,11,10,4,0,0.0,6,6,0,0,0
477146692.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
477453811.yaml,6,1,4,1,1,0,0.0,1,1,0,0,0
477552138.yaml,8,2,5,1,2,0,1.0,4,3,1,0,0
478123910.yaml,50,0,8,42,0,0,0,0,0,0,0,0
478270058.yaml,16,7,8,1,3,0,1.4285714285714286,23,14,5,1,3
478820947.yaml,7,2,3,2,1,0,0.0,3,3,0,0,0
478857403.yaml,3,0,1,2,0,0,0,0,0,0,0,0
478994798.yaml,1,0,1,0,0,0,0,0,0,0,0,0
479460922.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
479632230.yaml,10,2,4,4,1,0,0.0,3,3,0,0,0
479735793.yaml,1,0,1,0,0,0,0,0,0,0,0,0
479924243.yaml,3,0,3,0,0,0,0,0,0,0,0,0
480095537.yaml,23,2,15,6,0,0,0.0,4,4,0,0,0
480202547.yaml,37,0,3,34,0,0,0,0,0,0,0,0
480222665.yaml,6,1,3,2,1,0,0.0,1,1,0,0,0
480365901.yaml,1,0,1,0,0,0,0,0,0,0,0,0
480913578.yaml,10,3,5,2,2,0,0.6666666666666666,6,6,0,0,0
480942170.yaml,20,3,5,12,2,0,0.0,4,4,0,0,0
481208717.yaml,13,5,6,2,1,0,0.8,18,14,1,2,1
481356028.yaml,5,0,2,3,0,0,0,0,0,0,0,0
481484078.yaml,14,5,7,2,1,0,1.2,23,17,3,2,1
482066796.yaml,67,21,35,11,6,0,1.4285714285714286,90,70,10,3,7
482271735.yaml,1,0,1,0,0,0,0,0,0,0,0,0
482450495.yaml,1,0,1,0,0,0,0,0,0,0,0,0
482590920.yaml,26,3,4,19,1,0,1.3333333333333333,9,9,0,0,0
482615734.yaml,29,0,3,26,0,1,0,0,0,0,0,0
482662195.yaml,40,1,30,9,0,0,0.0,2,2,0,0,0
483314625.yaml,3,0,3,0,0,0,0,0,0,0,0,0
483569475.yaml,22,0,3,19,0,1,0,0,0,0,0,0
484114023.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
484662431.yaml,7,2,4,1,1,0,1.0,5,5,0,0,0
484979460.yaml,86,21,41,24,9,0,1.1428571428571428,68,51,9,3,5
485292337.yaml,20,1,14,5,0,0,0.0,2,2,0,0,0
485894548.yaml,35,1,26,8,0,0,0.0,2,2,0,0,0
486002398.yaml,1,0,1,0,0,0,0,0,0,0,0,0
486095519.yaml,11,1,10,0,0,0,0.0,2,2,0,0,0
486324159.yaml,121,0,91,30,0,0,0,0,0,0,0,0
486553932.yaml,34,12,18,4,3,0,1.5,49,37,7,3,2
486778653.yaml,26,5,14,7,5,0,0.0,5,5,0,0,0
486894686.yaml,13,5,6,2,1,0,0.8,18,14,1,2,1
487077920.yaml,20,4,10,6,4,0,0.0,4,4,0,0,0
487513619.yaml,1,0,1,0,0,0,0,0,0,0,0,0
488118373.yaml,9,3,3,3,0,0,0.0,8,7,0,1,0
488189116.yaml,30,6,13,11,4,0,1.3333333333333333,28,22,4,2,0
488213199.yaml,15,5,8,2,1,0,1.2,18,13,2,1,2
488259679.yaml,7,0,1,6,0,0,0,0,0,0,0,0
488365067.yaml,37,0,3,34,0,0,0,0,0,0,0,0
488699979.yaml,50,1,6,43,1,0,0.0,1,1,0,0,0
488801142.yaml,44,13,23,8,4,0,0.9230769230769231,39,27,5,2,5
488894800.yaml,5,1,2,2,0,0,0.0,2,2,0,0,0
489370288.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
489568517.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
489778355.yaml,40,1,30,9,0,0,0.0,2,2,0,0,0
491116254.yaml,5,1,4,0,0,0,0.0,2,2,0,0,0
491163348.yaml,17,3,10,4,2,0,0.0,6,5,0,1,0
491190141.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
491277392.yaml,25,6,13,6,4,0,0.3333333333333333,12,10,1,1,0
491279549.yaml,3,0,1,2,0,0,0,0,0,0,0,0
491664677.yaml,54,3,12,39,2,0,0.0,4,4,0,0,0
491669649.yaml,3,0,1,2,0,0,0,0,0,0,0,0
492557993.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
492628778.yaml,29,1,0,28,0,0,0.0,2,2,0,0,0
492888912.yaml,25,12,11,2,0,0,1.6666666666666667,61,43,8,3,7
492986485.yaml,1,0,1,0,0,0,0,0,0,0,0,0
493288637.yaml,10,0,3,7,0,0,0,0,0,0,0,0
493307725.yaml,20,8,9,3,1,0,1.25,54,47,2,3,2
493506843.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
493573704.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
493823679.yaml,15,6,1,8,5,0,1.6666666666666667,26,23,2,1,0
493953417.yaml,7,2,4,1,1,0,1.0,10,7,2,1,0
494420054.yaml,1,0,1,0,0,0,0,0,0,0,0,0
494448350.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
494463320.yaml,12,2,4,6,2,0,0.0,2,2,0,0,0
494540832.yaml,42,0,3,39,0,0,0,0,0,0,0,0
494875114.yaml,17,3,7,7,0,0,1.3333333333333333,13,10,1,1,1
495304980.yaml,17,7,8,2,3,0,0.5714285714285714,20,16,1,2,1
495458293.yaml,21,8,11,2,2,0,1.0,32,25,2,3,2
495969625.yaml,2,1,1,0,0,0,0.0,3,2,0,1,0
496055582.yaml,52,0,7,45,0,0,0,0,0,0,0,0
496295153.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
496864609.yaml,9,4,3,2,0,0,1.5,30,26,1,2,1
496954872.yaml,1,0,1,0,0,0,0,0,0,0,0,0
496996395.yaml,16,9,5,2,0,0,1.5555555555555556,49,37,5,3,4
497124036.yaml,59,3,11,45,2,0,1.3333333333333333,8,8,0,0,0
497162200.yaml,2,0,1,1,0,0,0,0,0,0,0,0
497174964.yaml,10,2,4,4,1,0,1.0,5,5,0,0,0
497254580.yaml,3,1,1,1,1,0,0.0,1,1,0,0,0
498081344.yaml,49,14,27,8,5,0,1.0,47,34,5,3,5
498091388.yaml,11,3,6,2,2,0,0.6666666666666666,11,8,2,1,0
498456869.yaml,63,14,42,7,13,0,0.8571428571428571,27,27,0,0,0
498589703.yaml,8,2,3,3,1,0,0.0,3,3,0,0,0
499827864.yaml,14,5,7,2,1,0,0.8,18,14,1,2,1
500358826.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
500431304.yaml,61,19,26,16,6,0,1.1578947368421053,127,102,13,11,1
500664117.yaml,47,0,10,37,0,0,0,0,0,0,0,0
500677129.yaml,70,1,14,55,1,4,0.0,1,1,0,0,0
500730416.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
500952450.yaml,13,2,5,6,2,0,0.0,2,2,0,0,0
501027421.yaml,21,8,10,3,1,0,1.25,28,20,4,2,2
501152933.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
501365107.yaml,28,3,10,15,1,0,0.6666666666666666,12,9,2,1,0
501846533.yaml,55,11,22,22,6,0,0.9090909090909091,35,27,4,2,2
501992355.yaml,27,5,16,6,2,0,0.4,10,9,1,0,0
502357638.yaml,47,14,21,12,5,0,1.1428571428571428,44,30,7,3,4
502437353.yaml,1,0,1,0,0,0,0,0,0,0,0,0
503226194.yaml,17,6,9,2,1,0,1.0,14,10,3,1,0
503417165.yaml,18,2,11,5,0,0,0.0,4,4,0,0,0
503512285.yaml,4,0,2,2,0,0,0,0,0,0,0,0
504058667.yaml,39,14,23,2,5,0,1.0,47,34,5,3,5
504102549.yaml,27,4,12,11,3,0,0.5,7,7,0,0,0
504528119.yaml,4,0,4,0,0,0,0,0,0,0,0,0
505472626.yaml,19,4,7,8,3,0,0.0,5,5,0,0,0
505847866.yaml,14,5,7,2,1,0,0.8,18,14,1,2,1
506838162.yaml,13,5,6,2,1,0,0.8,18,14,1,2,1
507760607.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
508317716.yaml,5,0,4,1,0,0,0,0,0,0,0,0
508469861.yaml,23,9,11,3,3,0,1.1111111111111112,27,19,4,1,3
508547791.yaml,17,6,8,3,2,0,1.0,18,14,2,1,1
508848428.yaml,91,29,41,21,12,0,1.0344827586206897,73,50,14,3,6
509056087.yaml,35,0,3,32,0,0,0,0,0,0,0,0
509212708.yaml,2,1,1,0,0,0,0.0,3,2,0,1,0
509588780.yaml,24,1,16,7,0,0,0.0,2,2,0,0,0
510053455.yaml,9,2,3,4,1,0,0.0,3,3,0,0,0
510075621.yaml,53,5,9,39,1,0,1.2,17,13,2,1,1
510343710.yaml,43,0,4,39,0,0,0,0,0,0,0,0
510631508.yaml,6,3,3,0,1,0,1.3333333333333333,11,7,2,1,1
510711300.yaml,13,5,6,2,1,0,0.8,18,14,1,2,1
510794552.yaml,39,4,6,29,2,0,0.5,7,5,1,0,1
511350683.yaml,38,4,24,10,1,0,0.0,6,6,0,0,0
511389516.yaml,1,0,1,0,0,0,0,0,0,0,0,0
511849511.yaml,3,0,1,2,0,0,0,0,0,0,0,0
511960181.yaml,3,0,1,2,0,0,0,0,0,0,0,0
512157240.yaml,49,14,27,8,5,0,1.0,47,34,5,3,5
512214984.yaml,21,0,5,16,0,0,0,0,0,0,0,0
512330066.yaml,16,4,8,4,1,0,0.0,7,7,0,0,0
512331693.yaml,66,6,18,42,3,0,0.0,9,9,0,0,0
512576398.yaml,4,1,2,1,0,0,0.0,1,1,0,0,0
512629127.yaml,44,15,24,5,6,0,0.9333333333333333,48,35,5,3,5
512661065.yaml,35,10,20,5,9,0,0.4,15,15,0,0,0
512694723.yaml,1,0,1,0,0,0,0,0,0,0,0,0
513232148.yaml,43,2,6,35,2,0,0.0,2,2,0,0,0
513609558.yaml,6,1,3,2,1,0,0.0,1,1,0,0,0
513874971.yaml,39,14,23,2,5,0,1.0,47,34,5,3,5
514235569.yaml,18,1,12,5,0,0,0.0,2,2,0,0,0
514761357.yaml,20,0,3,17,0,0,0,0,0,0,0,0
514761508.yaml,4,0,2,2,0,0,0,0,0,0,0,0
514978736.yaml,40,10,21,9,10,0,0.0,10,10,0,0,0
515024056.yaml,1,0,1,0,0,0,0,0,0,0,0,0
515342069.yaml,26,11,13,2,3,0,1.0909090909090908,46,36,3,4,3
515437710.yaml,82,21,27,34,6,0,1.9047619047619047,104,84,10,4,6
515845513.yaml,1,0,1,0,0,0,0,0,0,0,0,0
515900088.yaml,17,3,7,7,3,0,0.0,3,3,0,0,0
515967997.yaml,9,0,4,5,0,0,0,0,0,0,0,0
516499227.yaml,1,0,1,0,0,0,0,0,0,0,0,0
516508348.yaml,25,1,4,20,0,0,0.0,2,2,0,0,0
516563196.yaml,53,26,25,2,5,0,1.8461538461538463,171,131,20,10,10
516718610.yaml,18,6,9,3,2,0,0.6666666666666666,19,15,1,2,1
516914771.yaml,16,4,7,5,1,0,1.0,8,7,1,0,0
516929133.yaml,68,21,35,12,6,0,1.4285714285714286,90,70,10,3,7
517063354.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
517452878.yaml,8,2,5,1,1,0,0.0,3,3,0,0,0
517494431.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
518194211.yaml,25,1,16,8,0,0,0.0,2,2,0,0,0
518203354.yaml,3,1,2,0,0,0,0.0,2,2,0,0,0
518258692.yaml,1,0,1,0,0,0,0,0,0,0,0,0
518660104.yaml,17,4,6,7,1,0,0.5,8,6,1,1,0
518678686.yaml,2,1,1,0,0,0,0.0,4,3,0,1,0
518877972.yaml,5,1,2,2,0,0,0.0,2,2,0,0,0
518908987.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
519022599.yaml,18,5,9,4,1,0,1.2,17,13,2,1,1
519225270.yaml,43,14,23,6,5,0,1.0,47,34,5,3,5
519736691.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
520194184.yaml,51,3,8,40,3,0,0.0,3,3,0,0,0
520531872.yaml,38,0,4,34,0,0,0,0,0,0,0,0
520567024.yaml,7,4,3,0,3,0,1.0,9,9,0,0,0
520606920.yaml,2,1,1,0,0,0,0.0,4,3,0,1,0
520797281.yaml,17,6,8,3,3,0,0.0,9,9,0,0,0
520905242.yaml,13,5,6,2,1,0,0.8,18,14,1,2,1
521247074.yaml,22,1,14,7,0,0,0.0,2,2,0,0,0
521481125.yaml,19,1,14,4,0,0,0.0,2,2,0,0,0
521525298.yaml,57,1,15,41,0,0,0.0,2,2,0,0,0
521994702.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
522965725.yaml,36,0,6,30,0,0,0,0,0,0,0,0
523082465.yaml,39,14,23,2,5,0,1.0,47,34,5,3,5
523254351.yaml,39,14,23,2,5,0,1.0,47,34,5,3,5
523309937.yaml,7,1,5,1,1,0,0.0,1,1,0,0,0
523519174.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
523627359.yaml,49,14,27,8,5,0,1.0,47,34,5,3,5
524062420.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
524157081.yaml,36,2,5,29,0,0,0.0,7,5,0,2,0
524740735.yaml,9,1,3,5,0,0,0.0,2,2,0,0,0
524865944.yaml,20,8,10,2,2,0,1.0,32,25,2,3,2
525048806.yaml,44,0,1,43,0,0,0,0,0,0,0,0
525212542.yaml,6,0,3,3,0,0,0,0,0,0,0,0
525538531.yaml,6,3,2,1,0,0,1.3333333333333333,12,7,2,1,2
525784177.yaml,37,0,4,33,0,0,0,0,0,0,0,0
526484818.yaml,8,2,4,2,1,0,0.0,3,3,0,0,0
527241161.yaml,7,2,4,1,1,0,1.0,10,7,2,1,0
527710409.yaml,13,3,5,5,2,0,0.0,4,4,0,0,0
527711052.yaml,11,3,5,3,2,0,0.0,4,4,0,0,0
527882773.yaml,4,1,3,0,1,0,0.0,1,1,0,0,0
528868478.yaml,23,0,3,20,0,1,0,0,0,0,0,0
529417724.yaml,3,2,1,0,0,0,0.0,4,4,0,0,0
529655095.yaml,12,0,4,8,0,0,0,0,0,0,0,0
530243884.yaml,7,1,5,1,0,0,0.0,4,3,0,1,0
