benchmark_name,number_of_resources,number_of_supported_resources,number_of_ignored_resources,number_of_unsupported_resources,number_of_lambdas,number_of_ec2,average_graph_degree,number_of_constraints,number_of_basic_constraints,number_of_incoming_constraints,number_of_intrinsic_constraints,number_of_outgoing_constraints
255946157.yaml,73,4,17,52,2,0,1.0,10,6,2,0,2
257095931.yaml,9,1,3,5,1,0,0.0,1,1,0,0,0
257694247.yaml,58,9,15,34,4,0,0.8888888888888888,22,15,3,0,4
257756476.yaml,108,3,29,76,0,0,0.6666666666666666,7,5,1,0,1
258605584.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
259814229.yaml,41,4,9,28,1,0,1.0,14,8,2,2,2
259918604.yaml,26,0,5,21,0,0,0,0,0,0,0,0
260870743.yaml,8,1,7,0,1,0,0.0,1,1,0,0,0
261155011.yaml,11,2,4,5,1,0,0.0,3,3,0,0,0
261559910.yaml,9,3,5,1,2,0,0.0,6,5,0,1,0
261878712.yaml,20,4,8,8,1,0,0.0,7,7,0,0,0
262640974.yaml,19,6,11,2,1,0,1.3333333333333333,21,17,2,1,1
262780169.yaml,14,4,8,2,2,0,1.0,7,5,2,0,0
262849410.yaml,25,12,11,2,0,0,1.6666666666666667,61,43,8,3,7
263850477.yaml,13,4,5,4,1,0,1.0,11,7,2,0,2
264099140.yaml,5,0,3,2,0,1,0,0,0,0,0,0
264182161.yaml,52,23,25,4,8,0,2.347826086956522,119,86,18,6,9
264516560.yaml,21,8,11,2,2,0,1.5,34,25,5,2,2
264716141.yaml,13,2,6,5,2,0,0.0,2,2,0,0,0
264766292.yaml,17,0,4,13,0,1,0,0,0,0,0,0
266199447.yaml,53,3,12,38,1,0,1.3333333333333333,9,5,2,0,2
266903415.yaml,1,0,1,0,0,0,0,0,0,0,0,0
267748142.yaml,35,0,2,33,0,0,0,0,0,0,0,0
268479440.yaml,36,3,11,22,2,0,0.6666666666666666,8,6,1,1,0
268596959.yaml,12,0,2,10,0,0,0,0,0,0,0,0
268920292.yaml,17,2,10,5,0,0,0.0,4,4,0,0,0
269044015.yaml,40,0,3,37,0,0,0,0,0,0,0,0
270367247.yaml,19,6,12,1,5,0,1.3333333333333333,23,20,2,1,0
271167184.yaml,13,1,7,5,0,0,0.0,2,2,0,0,0
271891558.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
272616813.yaml,28,6,15,7,3,0,0.6666666666666666,16,13,1,1,1
272706209.yaml,9,3,5,1,1,0,0.6666666666666666,6,4,1,0,1
273004836.yaml,9,0,5,4,0,0,0,0,0,0,0,0
273605728.yaml,48,1,6,41,1,0,0.0,1,1,0,0,0
273627058.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
273636938.yaml,15,3,6,6,1,0,0.6666666666666666,4,3,1,0,0
274241483.yaml,33,7,15,11,6,0,0.0,7,7,0,0,0
274677408.yaml,52,23,25,4,8,0,2.347826086956522,119,86,18,6,9
275095225.yaml,16,5,8,3,2,0,0.8,15,12,1,1,1
276125734.yaml,42,15,23,4,5,0,1.6,54,38,10,2,4
276449640.yaml,30,5,18,7,0,0,0.8,12,8,2,0,2
277016418.yaml,55,3,13,39,1,0,1.3333333333333333,9,5,2,0,2
278459471.yaml,30,5,18,7,0,0,0.8,12,8,2,0,2
278910474.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
278960055.yaml,22,0,3,19,0,0,0,0,0,0,0,0
279045773.yaml,4,1,2,1,0,0,0.0,1,1,0,0,0
279155838.yaml,38,0,4,34,0,0,0,0,0,0,0,0
280596381.yaml,50,0,14,36,0,0,0,0,0,0,0,0
280599875.yaml,3,1,2,0,0,0,0.0,2,2,0,0,0
280652866.yaml,5,1,2,2,0,0,0.0,2,2,0,0,0
281053061.yaml,15,6,1,8,5,0,1.6666666666666667,26,23,2,1,0
281193686.yaml,14,5,7,2,1,0,1.2,23,17,3,2,1
281831928.yaml,16,1,9,6,0,0,0.0,2,2,0,0,0
281947298.yaml,9,2,5,2,2,0,0.0,2,2,0,0,0
282371164.yaml,23,10,11,2,2,0,1.0,34,24,4,3,3
283567350.yaml,30,5,18,7,0,0,0.8,12,8,2,0,2
283675822.yaml,1,0,1,0,0,0,0,0,0,0,0,0
285337361.yaml,3,0,1,2,0,0,0,0,0,0,0,0
285455271.yaml,20,4,13,3,4,0,0.0,4,4,0,0,0
285954003.yaml,41,16,23,2,5,0,1.75,80,61,9,3,7
286589192.yaml,20,1,13,6,0,0,0.0,2,2,0,0,0
286596850.yaml,74,3,21,50,2,0,0.0,4,4,0,0,0
